iter	Passed	Remaining
400	34305	51245
401	34390	51157
402	34467	51059
403	34550	50970
404	34636	50885
405	34703	50773
406	34765	50653
407	34830	50539
408	34900	50431
409	34972	50326
410	35067	50254
411	35197	50233
412	35280	50144
413	35356	50045
414	35431	49946
415	35509	49849
416	35628	49811
417	35730	49749
418	35800	49642
419	35866	49529
420	35938	49426
421	36002	49310
422	36067	49199
423	36166	49131
424	36281	49086
425	36355	48985
426	36423	48877
427	36489	48765
428	36553	48653
429	36620	48543
430	36694	48443
431	36765	48339
432	36835	48234
433	36899	48122
434	36965	48012
435	37035	47908
436	37103	47801
437	37167	47690
438	37240	47589
439	37346	47532
440	37453	47475
441	37534	47384
442	37612	47291
443	37683	47188
444	37764	47098
445	37840	47003
446	37920	46912
447	37990	46809
448	38055	46700
449	38118	46589
450	38186	46484
451	38267	46394
452	38354	46313
453	38434	46222
454	38535	46157
455	38622	46076
456	38703	45986
457	38787	45901
458	38877	45822
459	38965	45742
460	39052	45659
461	39135	45573
462	39219	45487
463	39375	45485
464	39493	45438
465	39583	45359
466	39671	45277
467	39752	45188
468	39826	45091
469	39897	44990
470	39963	44885
471	40030	44780
472	40097	44675
473	40170	44577
474	40239	44474
475	40315	44380
476	40385	44280
477	40452	44175
478	40518	44071
479	40586	43968
480	40656	43868
481	40726	43768
482	40798	43670
483	40863	43564
484	40933	43465
485	41006	43368
486	41077	43270
487	41140	43164
488	41208	43061
489	41276	42961
490	41346	42862
491	41415	42762
492	41485	42663
493	41550	42559
494	41620	42461
495	41685	42357
496	41749	42253
497	41821	42157
498	41886	42054
499	41952	41952
500	42018	41850
501	42082	41747
502	42150	41647
503	42217	41547
504	42286	41449
505	42360	41355
506	42431	41259
507	42507	41168
508	42578	41072
509	42643	40971
510	42714	40875
511	42785	40779
512	42861	40689
513	42934	40595
514	43003	40498
515	43074	40403
516	43143	40305
517	43209	40206
518	43281	40112
519	43389	40051
520	43474	39969
521	43553	39881
522	43635	39797
523	43718	39713
524	43804	39632
525	43886	39547
526	43966	39461
527	44052	39379
528	44138	39299
529	44226	39219
530	44310	39136
531	44395	39054
532	44474	38967
533	44558	38884
534	44643	38801
535	44728	38719
536	44821	38645
537	44901	38558
538	44973	38465
539	45077	38398
540	45160	38315
541	45239	38227
542	45325	38146
543	45414	38067
